"orderID";"customerID";"employeeID";"orderDate";"requiredDate";"shippedDate";"shipVia";"freight"
10248;"VINET";5;"1996-07-04";"1996-08-01";"1996-07-16";3;3238.0
10249;"TOMSP";6;"1996-07-05";"1996-08-16";"1996-07-10";1;1161.0
10250;"HANAR";4;"1996-07-08";"1996-08-05";"1996-07-12";2;6583.0
10251;"VICTE";3;"1996-07-08";"1996-08-05";"1996-07-15";1;4134.0
10252;"SUPRD";4;"1996-07-09";"1996-08-06";"1996-07-11";2;513.0
10253;"HANAR";3;"1996-07-10";"1996-07-24";"1996-07-16";2;5817.0
10254;"CHOPS";5;"1996-07-11";"1996-08-08";"1996-07-23";2;2298.0
10255;"RICSU";9;"1996-07-12";"1996-08-09";"1996-07-15";3;14833.0
10256;"WELLI";3;"1996-07-15";"1996-08-12";"1996-07-17";2;1397.0
10257;"HILAA";4;"1996-07-16";"1996-08-13";"1996-07-22";3;8191.0
10258;"ERNSH";1;"1996-07-17";"1996-08-14";"1996-07-23";1;14051.0
10259;"CENTC";4;"1996-07-18";"1996-08-15";"1996-07-25";3;325.0
10260;"OTTIK";4;"1996-07-19";"1996-08-16";"1996-07-29";1;5509.0
10261;"QUEDE";4;"1996-07-19";"1996-08-16";"1996-07-30";2;305.0
10262;"RATTC";8;"1996-07-22";"1996-08-19";"1996-07-25";3;4829.0
10263;"ERNSH";9;"1996-07-23";"1996-08-20";"1996-07-31";3;14606.0
10264;"FOLKO";6;"1996-07-24";"1996-08-21";"1996-08-23";3;367.0
10265;"BLONP";2;"1996-07-25";"1996-08-22";"1996-08-12";1;5528.0
10266;"WARTH";3;"1996-07-26";"1996-09-06";"1996-07-31";3;2573.0
10267;"FRANK";4;"1996-07-29";"1996-08-26";"1996-08-06";1;20858.0
10268;"GROSR";8;"1996-07-30";"1996-08-27";"1996-08-02";3;6629.0
10269;"WHITC";5;"1996-07-31";"1996-08-14";"1996-08-09";1;456.0
10270;"WARTH";1;"1996-08-01";"1996-08-29";"1996-08-02";1;13654.0
10271;"SPLIR";6;"1996-08-01";"1996-08-29";"1996-08-30";2;454.0
10272;"RATTC";6;"1996-08-02";"1996-08-30";"1996-08-06";2;9803.0
10273;"QUICK";3;"1996-08-05";"1996-09-02";"1996-08-12";3;7607.0
10274;"VINET";6;"1996-08-06";"1996-09-03";"1996-08-16";1;601.0
10275;"MAGAA";1;"1996-08-07";"1996-09-04";"1996-08-09";1;2693.0
10276;"TORTU";8;"1996-08-08";"1996-08-22";"1996-08-14";3;1384.0
10277;"MORGK";2;"1996-08-09";"1996-09-06";"1996-08-13";3;12577.0
10278;"BERGS";8;"1996-08-12";"1996-09-09";"1996-08-16";2;9269.0
10279;"LEHMS";8;"1996-08-13";"1996-09-10";"1996-08-16";2;2583.0
10280;"BERGS";2;"1996-08-14";"1996-09-11";"1996-09-12";1;898.0
10281;"ROMEY";4;"1996-08-14";"1996-08-28";"1996-08-21";1;294.0
10282;"ROMEY";4;"1996-08-15";"1996-09-12";"1996-08-21";1;1269.0
10283;"LILAS";3;"1996-08-16";"1996-09-13";"1996-08-23";3;8481.0
10284;"LEHMS";4;"1996-08-19";"1996-09-16";"1996-08-27";1;7656.0
10285;"QUICK";1;"1996-08-20";"1996-09-17";"1996-08-26";2;7683.0
10286;"QUICK";8;"1996-08-21";"1996-09-18";"1996-08-30";3;22924.0
10287;"RICAR";8;"1996-08-22";"1996-09-19";"1996-08-28";3;1276.0
10288;"REGGC";4;"1996-08-23";"1996-09-20";"1996-09-03";1;745.0
10289;"BSBEV";7;"1996-08-26";"1996-09-23";"1996-08-28";3;2277.0
10290;"COMMI";8;"1996-08-27";"1996-09-24";"1996-09-03";1;797.0
10291;"QUEDE";6;"1996-08-27";"1996-09-24";"1996-09-04";2;64.0
10292;"TRADH";1;"1996-08-28";"1996-09-25";"1996-09-02";2;135.0
10293;"TORTU";1;"1996-08-29";"1996-09-26";"1996-09-11";3;2118.0
10294;"RATTC";4;"1996-08-30";"1996-09-27";"1996-09-05";2;14726.0
10295;"VINET";2;"1996-09-02";"1996-09-30";"1996-09-10";2;115.0
10296;"LILAS";6;"1996-09-03";"1996-10-01";"1996-09-11";1;12.0
10297;"BLONP";5;"1996-09-04";"1996-10-16";"1996-09-10";2;574.0
10298;"HUNGO";6;"1996-09-05";"1996-10-03";"1996-09-11";2;16822.0
10299;"RICAR";4;"1996-09-06";"1996-10-04";"1996-09-13";2;2976.0
10300;"MAGAA";2;"1996-09-09";"1996-10-07";"1996-09-18";2;1768.0
10301;"WANDK";8;"1996-09-09";"1996-10-07";"1996-09-17";2;4508.0
10302;"SUPRD";4;"1996-09-10";"1996-10-08";"1996-10-09";2;627.0
10303;"GODOS";7;"1996-09-11";"1996-10-09";"1996-09-18";2;10783.0
10304;"TORTU";1;"1996-09-12";"1996-10-10";"1996-09-17";2;6379.0
10305;"OLDWO";8;"1996-09-13";"1996-10-11";"1996-10-09";3;25762.0
10306;"ROMEY";1;"1996-09-16";"1996-10-14";"1996-09-23";3;756.0
10307;"LONEP";2;"1996-09-17";"1996-10-15";"1996-09-25";2;56.0
10308;"ANATR";7;"1996-09-18";"1996-10-16";"1996-09-24";3;161.0
10309;"HUNGO";3;"1996-09-19";"1996-10-17";"1996-10-23";1;473.0
10310;"THEBI";8;"1996-09-20";"1996-10-18";"1996-09-27";2;1752.0
10311;"DUMON";1;"1996-09-20";"1996-10-04";"1996-09-26";3;2469.0
10312;"WANDK";2;"1996-09-23";"1996-10-21";"1996-10-03";2;4026.0
10313;"QUICK";2;"1996-09-24";"1996-10-22";"1996-10-04";2;196.0
10314;"RATTC";1;"1996-09-25";"1996-10-23";"1996-10-04";2;7416.0
10315;"ISLAT";4;"1996-09-26";"1996-10-24";"1996-10-03";2;4176.0
10316;"RATTC";1;"1996-09-27";"1996-10-25";"1996-10-08";3;15015.0
10317;"LONEP";6;"1996-09-30";"1996-10-28";"1996-10-10";1;1269.0
10318;"ISLAT";8;"1996-10-01";"1996-10-29";"1996-10-04";2;473.0
10319;"TORTU";7;"1996-10-02";"1996-10-30";"1996-10-11";3;645.0
10320;"WARTH";5;"1996-10-03";"1996-10-17";"1996-10-18";3;3457.0
10321;"ISLAT";3;"1996-10-03";"1996-10-31";"1996-10-11";2;343.0
10322;"PERIC";7;"1996-10-04";"1996-11-01";"1996-10-23";3;4.0
10323;"KOENE";4;"1996-10-07";"1996-11-04";"1996-10-14";1;488.0
10324;"SAVEA";9;"1996-10-08";"1996-11-05";"1996-10-10";1;21427.0
10325;"KOENE";1;"1996-10-09";"1996-10-23";"1996-10-14";3;6486.0
10326;"BOLID";4;"1996-10-10";"1996-11-07";"1996-10-14";2;7792.0
10327;"FOLKO";2;"1996-10-11";"1996-11-08";"1996-10-14";1;6336.0
10328;"FURIB";4;"1996-10-14";"1996-11-11";"1996-10-17";3;8703.0
10329;"SPLIR";4;"1996-10-15";"1996-11-26";"1996-10-23";2;19167.0
10330;"LILAS";3;"1996-10-16";"1996-11-13";"1996-10-28";1;1275.0
10331;"BONAP";9;"1996-10-16";"1996-11-27";"1996-10-21";1;1019.0
10332;"MEREP";3;"1996-10-17";"1996-11-28";"1996-10-21";2;5284.0
10333;"WARTH";5;"1996-10-18";"1996-11-15";"1996-10-25";3;59.0
10334;"VICTE";8;"1996-10-21";"1996-11-18";"1996-10-28";2;856.0
10335;"HUNGO";7;"1996-10-22";"1996-11-19";"1996-10-24";2;4211.0
10336;"PRINI";7;"1996-10-23";"1996-11-20";"1996-10-25";2;1551.0
10337;"FRANK";4;"1996-10-24";"1996-11-21";"1996-10-29";3;10826.0
10338;"OLDWO";4;"1996-10-25";"1996-11-22";"1996-10-29";3;8421.0
10339;"MEREP";2;"1996-10-28";"1996-11-25";"1996-11-04";2;1566.0
10340;"BONAP";1;"1996-10-29";"1996-11-26";"1996-11-08";3;16631.0
10341;"SIMOB";7;"1996-10-29";"1996-11-26";"1996-11-05";3;2678.0
10342;"FRANK";4;"1996-10-30";"1996-11-13";"1996-11-04";2;5483.0
10343;"LEHMS";4;"1996-10-31";"1996-11-28";"1996-11-06";1;11037.0
10344;"WHITC";4;"1996-11-01";"1996-11-29";"1996-11-05";2;2329.0
10345;"QUICK";2;"1996-11-04";"1996-12-02";"1996-11-11";2;24906.0
10346;"RATTC";3;"1996-11-05";"1996-12-17";"1996-11-08";3;14208.0
10347;"FAMIA";4;"1996-11-06";"1996-12-04";"1996-11-08";3;31.0
10348;"WANDK";4;"1996-11-07";"1996-12-05";"1996-11-15";2;78.0
10349;"SPLIR";7;"1996-11-08";"1996-12-06";"1996-11-15";1;863.0
10350;"LAMAI";6;"1996-11-11";"1996-12-09";"1996-12-03";2;6419.0
10351;"ERNSH";1;"1996-11-11";"1996-12-09";"1996-11-20";1;16233.0
10352;"FURIB";3;"1996-11-12";"1996-11-26";"1996-11-18";3;13.0
10353;"PICCO";7;"1996-11-13";"1996-12-11";"1996-11-25";3;36063.0
10354;"PERIC";8;"1996-11-14";"1996-12-12";"1996-11-20";3;538.0
10355;"AROUT";6;"1996-11-15";"1996-12-13";"1996-11-20";1;4195.0
10356;"WANDK";6;"1996-11-18";"1996-12-16";"1996-11-27";2;3671.0
10357;"LILAS";1;"1996-11-19";"1996-12-17";"1996-12-02";3;3488.0
10358;"LAMAI";5;"1996-11-20";"1996-12-18";"1996-11-27";1;1964.0
10359;"SEVES";5;"1996-11-21";"1996-12-19";"1996-11-26";3;28843.0
10360;"BLONP";4;"1996-11-22";"1996-12-20";"1996-12-02";3;1317.0
10361;"QUICK";1;"1996-11-22";"1996-12-20";"1996-12-03";2;18317.0
10362;"BONAP";3;"1996-11-25";"1996-12-23";"1996-11-28";1;9604.0
10363;"DRACD";4;"1996-11-26";"1996-12-24";"1996-12-04";3;3054.0
10364;"EASTC";1;"1996-11-26";"1997-01-07";"1996-12-04";1;7197.0
10365;"ANTON";3;"1996-11-27";"1996-12-25";"1996-12-02";2;22.0
10366;"GALED";8;"1996-11-28";"1997-01-09";"1996-12-30";2;1014.0
10367;"VAFFE";7;"1996-11-28";"1996-12-26";"1996-12-02";3;1355.0
10368;"ERNSH";2;"1996-11-29";"1996-12-27";"1996-12-02";2;10195.0
10369;"SPLIR";8;"1996-12-02";"1996-12-30";"1996-12-09";2;19568.0
10370;"CHOPS";6;"1996-12-03";"1996-12-31";"1996-12-27";2;117.0
10371;"LAMAI";1;"1996-12-03";"1996-12-31";"1996-12-24";1;45.0
10372;"QUEEN";5;"1996-12-04";"1997-01-01";"1996-12-09";2;89078.0
10373;"HUNGO";4;"1996-12-05";"1997-01-02";"1996-12-11";3;12412.0
10374;"WOLZA";1;"1996-12-05";"1997-01-02";"1996-12-09";3;394.0
10375;"HUNGC";3;"1996-12-06";"1997-01-03";"1996-12-09";2;2012.0
10376;"MEREP";1;"1996-12-09";"1997-01-06";"1996-12-13";2;2039.0
10377;"SEVES";1;"1996-12-09";"1997-01-06";"1996-12-13";3;2221.0
10378;"FOLKO";5;"1996-12-10";"1997-01-07";"1996-12-19";3;544.0
10379;"QUEDE";2;"1996-12-11";"1997-01-08";"1996-12-13";1;4503.0
10380;"HUNGO";8;"1996-12-12";"1997-01-09";"1997-01-16";3;3503.0
10381;"LILAS";3;"1996-12-12";"1997-01-09";"1996-12-13";3;799.0
10382;"ERNSH";4;"1996-12-13";"1997-01-10";"1996-12-16";1;9477.0
10383;"AROUT";8;"1996-12-16";"1997-01-13";"1996-12-18";3;3424.0
